title,year,duration,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
"The Rental",2020,88,41000,62.0,3500000,403852,4311042
"The Duke",2020,95,15000,74.0,0,25776,14233027
"¿Y cómo es él?",2020,95,280,0,0,624377,4625869
"Joe Bell",2020,94,10000,54.0,0,749635,1736318
"2 Hearts",2020,101,10000,29.0,15000000,522937,1349286
"Peninsula",2020,116,40000,51.0,16000000,118647,42698327
"True to the Game 2",2020,94,511,0,0,274631,1181823
"Love and Monsters",2020,109,152000,63.0,30000000,270302,1070714
"Relic",2020,89,32000,77.0,0,192352,2902552
"The Tax Collector",2020,95,16000,22.0,20000000,309694,1325781
"The Last Shift",2020,90,4300,58.0,0,246491,1035128
"Becky",2020,93,27000,54.0,0,209394,1045873
"Soul",2020,100,405000,83.0,0,431840,121977511
"Echo Boomers",2020,94,8900,37.0,2500000,0,2934433
"All My Life",2020,91,6500,39.0,25000000,370315,1965113
"Cut Throat City",2020,123,3300,67.0,6500000,243379,864928
"Four Good Days",2020,100,15000,52.0,0,298358,864091
"Sarileru Neekevvaru",2020,169,9500,0,260,821000,37389889
"Vanguard",2020,107,7000,34.0,0,380428,50866901
"Possessor",2020,103,50000,72.0,0,252664,911180
"French Exit",2020,113,9300,56.0,0,0,1556763
"Baaghi 3",2020,143,14000,0,550000000,509616,16726510
"Nine Days",2020,124,13000,72.0,0,15700,967662
"Aline",2020,126,3600,53.0,23000000,164087,11149943
"Chhapaak",2020,120,28000,0,0,316781,6532100
"Shortcut",2020,80,2000,26.0,1200000,243508,600734
"Panga",2020,131,8100,0,0,285689,4886124
"Alone",2020,98,33000,70.0,750000,182473,642502
"Kajillionaire",2020,104,23000,78.0,0,215675,1285775
"The Truffle Hunters",2020,84,4000,84.0,0,0,1515528
"The Call",2020,97,5400,0,1500000,138237,1591194
"The Big Ugly",2020,106,7100,52.0,0,152598,515399
"The Forgotten Carols",2020,130,84,0,300000,104798,502252
"Spell",2020,91,10000,38.0,0,206591,500104
"Ava",2020,96,66000,39.0,0,170349,3293783
"Trolls World Tour",2020,91,31000,51.0,90000000,0,49276818
"CatVideoFest 2020",2020,75,21,0,0,217927,437625
"Infamous",2020,100,3600,40.0,0,160371,429148
"Tulsa",2020,120,1200,0,0,78393,413378
"Stevie Nicks 24 Karat Gold the Concert",2020,135,119,0,0,243509,613612
"She Dies Tomorrow",2020,86,7600,81.0,0,84659,398663
"The Water Man",2020,91,4800,68.0,0,181046,383234
"The Eight Hundred",2020,149,7800,64.0,80000000,118161,461421559
"The Dry",2020,117,37000,69.0,0,119364,15576286
"The Kid Detective",2020,100,24000,74.0,0,140218,367890
"Children of the Corn",2020,93,4900,22.0,10000000,263128,575179
"Final Account",2020,94,1800,76.0,0,139985,353077
"New Order",2020,86,11000,62.0,0,144533,1825491
"Save Yourselves!",2020,93,8900,67.0,0,142694,301162
