year,duration,rating,votes,meta_score,budget,opening_weekend_gross,gross_worldwide
2020,120,7.8,138,0,0,79862,1034004
2020,91,6.6,9900,75.0,0,27065,1170267
2020,112,7.8,62,0,0,16519,78493
2020,116,7.5,69000,81.0,5300000,15441,2001176
2020,71,6.7,60,0,0,24397,72347
2020,95,6.3,560,70.0,0,21490,72012
2020,101,6.9,15000,65.0,6138000,9390,3610818
2020,85,6.8,5700,82.0,0,25378,113649
2020,104,5.3,568,56.0,0,36718,69746
2020,109,6.6,294,67.0,2000000,6091,150901
2020,105,6.0,12000,68.0,0,31090,70459
2020,98,3.1,143,0,0,19386,59395
2020,99,7.0,10000,56.0,0,28881,1190062
2020,119,7.8,31000,81.0,0,25000,101993
2020,86,7.2,234,70.0,0,9050,54817
2020,101,6.5,7500,50.0,0,28851,957592
2020,91,5.7,1600,60.0,0,19054,62337
2020,130,8.1,82000,0,3600000,16710,52786
2020,89,6.6,3400,71.0,0,13388,126324
2020,101,6.1,5100,0,0,51032,2388346
2020,96,4.2,184,0,50000,3472,50932
2020,100,8.2,2000,67.0,0,25150,49030
2020,96,7.4,8100,80.0,0,15052,764610
2020,96,5.7,2300,0,0,22193,46855
2020,104,7.0,1800,81.0,0,21603,91833
2020,122,5.5,1500,0,0,35000,129044
2020,81,7.2,3800,73.0,0,9820,53222
2020,101,6.9,7900,71.0,0,21555,39053
2020,104,6.5,4600,51.0,0,14335,1073966
2020,94,5.0,6200,36.0,0,19745,49638
2020,118,6.3,111,0,1000000,1890,39455
2020,106,4.4,2900,40.0,0,13767,32890
2020,93,6.4,14000,61.0,0,12010,32705
2020,99,8.1,64,0,0,6455,32323
2020,117,6.5,3900,56.0,0,15141,32259
2020,116,5.7,5900,58.0,0,18767,30932
2020,108,6.3,6500,61.0,0,19650,31053
2020,104,6.3,3800,58.0,5800000,8891,5461144
2020,93,5.9,18000,42.0,0,20480,51849
2020,90,6.2,1700,76.0,0,12026,28706
2020,93,6.6,12000,52.0,0,13144,72147
2020,105,5.5,3600,68.0,0,11010,97500
2020,107,6.2,985,50.0,0,0,24246
2020,90,7.1,48,0,0,19697,24139
2020,96,3.8,4200,0,0,1469,22307
2020,105,4.8,62,0,500000,0,21543
2020,77,6.6,7000,74.0,4900000,7346,2044742
2020,113,6.4,29000,61.0,190000000,11024,354023
2020,110,3.4,215,0,0,3080,18829
2020,139,6.0,1100,0,86500000,9674,64237554
2020,100,6.9,7300,72.0,0,5545,18370
2020,101,7.4,32000,92.0,0,16285,299588
2020,89,4.4,3900,46.0,0,6480,31808
2020,101,5.0,650,0,0,15938,15938
2020,116,6.4,2900,73.0,4000000,2828,167977
2020,83,6.9,416,72.0,650000,0,15508
2020,129,7.5,3800,76.0,0,2019,220031
2020,139,7.7,590,0,5000000,15269,15269
2020,96,6.6,1200,66.0,0,3101,52131
2020,72,6.9,1800,83.0,0,4671,54183
2020,92,6.3,509,76.0,0,4976,12804
2020,111,6.4,2700,71.0,0,0,12642
2020,94,4.2,16000,0,0,7788,15443
2020,106,6.6,4200,74.0,0,966,11546
2020,135,4.4,45,0,0,5217,5880157
2020,118,6.5,1200,68.0,0,4988,13861
2020,79,3.8,88,0,0,8712,11319
2020,91,5.3,422,0,0,10814,10814
2020,88,7.6,1500,80.0,0,2742,28876
2020,86,6.7,2800,73.0,0,10236,10236
2020,94,7.8,38,87.0,805565,2558,9723
2020,109,4.4,2400,35.0,5500000,4289,62251
2020,101,5.0,2500,55.0,3000000,6795,58448
2020,103,6.0,827,74.0,0,4142,8495
2020,103,6.5,4900,69.0,0,1110,259505
2020,151,7.5,7200,82.0,0,3242,902578
2020,120,6.5,9500,53.0,0,0,449753
2020,96,6.9,137,0,0,3756,7113
2020,92,4.0,1400,0,0,6986,6986
2020,110,5.5,891,0,0,2720,6976
2020,86,5.5,5500,63.0,0,2532,6820
2020,71,4.0,89,0,100000,965,6390
2020,147,6.8,171,0,0,4206,8368
2020,90,2.2,424,0,1000000,745,5745
2020,136,7.2,2800,58.0,0,5512,1927584
2020,99,5.5,1100,0,0,3321,5268
2020,85,7.6,97,62.0,0,5026,117475
2020,75,6.0,183,59.0,0,1955,194348
2020,95,6.9,1700,75.0,0,3168,4689
2020,80,4.5,53,0,0,1645,4194
